section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,6708,64.6,4389.7,4325.1,1912.9
loopA 순환,6710,545.6,4953.5,4407.9,1995.7
loopA 순환,6712,1024.6,5186.3,4161.7,1749.5
loopA 순환,6714,1504.6,5726.4,4221.8,1809.6
loopA 순환,6716,1991.9,6425.2,4433.3,2021.1
loopA 순환,7052,2464.6,6822.2,4357.6,1945.4
loopA 순환,7601,2944.6,7282.7,4338.1,1925.9
loopA 순환,8154,3424.6,7684.7,4260.1,1847.9
loopA 순환,8722,3904.6,8130.9,4226.3,1814.1
loopB 순환,6709,322.8,4698.1,4375.3,1965.3
loopB 순환,6711,802.8,5001.0,4198.2,1788.2
loopB 순환,6713,1282.8,5616.3,4333.5,1923.5
loopB 순환,6715,1762.8,5953.8,4191.0,1781.0
loopB 순환,6835,2242.8,6371.8,4129.0,1719.0
loopB 순환,7347,2722.8,7018.1,4295.3,1885.3
loopB 순환,7924,3202.8,7333.5,4130.7,1720.7
loopB 순환,8482,3682.8,7791.9,4109.1,1699.1
