veh_id,kind,length_m,origin,destination,depart_s,arrive_s,travel_s,dist_m,avg_kmh,stops
31,car,4.5,xloopA_0Aa,xloopA_0Ab,2174.4,2189.6,15.2,84.3,19.9,1
12,car,4.5,road_loopA_f0,xloopA_0Bb,2155.3,2211.3,56.0,478.6,30.8,1
38,suv,4.8,road_loopA_f0,xloopA_0Bb,2179.3,2226.7,47.4,479.1,36.4,0
66,car,4.5,xloopA_0Ba,xloopA_0Bb,2213.6,2237.3,23.7,84.2,12.8,1
47,car,4.5,xloopA_0Aa,xloopA_0Ab,2194.1,2239.2,45.1,84.6,6.8,1
10,car,4.5,road_loopA_r0,road_loopA_r1,2152.7,2241.7,89.0,1297.3,52.5,0
85,car,4.5,xloopA_0Ba,xloopA_0Bb,2232.0,2242.5,10.5,84.6,29.0,0
14,car,4.5,road_loopA_r0,road_loopA_r1,2156.4,2245.3,88.9,1297.3,52.5,0
16,car,4.5,road_loopA_r0,road_loopA_r1,2159.1,2248.0,88.9,1297.3,52.5,0
90,car,4.5,xloopA_0Aa,xloopA_0Ab,2235.6,2248.1,12.5,84.3,24.3,0
17,car,4.5,road_loopA_r0,road_loopA_r1,2160.2,2249.1,88.9,1297.3,52.5,0
20,suv,4.8,road_loopA_r0,road_loopA_r1,2161.7,2250.7,89.0,1297.3,52.5,0
18,car,4.5,road_loopA_r0,road_loopA_r1,2161.6,2251.4,89.8,1298.5,52.1,0
99,car,4.5,xloopA_0Aa,xloopA_0Ab,2241.0,2252.2,11.2,84.3,27.0,0
15,car,4.5,road_loopA_f0,road_loopA_f1,2157.5,2253.9,96.4,1304.0,48.7,0
11,suv,4.8,road_loopA_f0,road_loopA_f1,2154.8,2254.1,99.3,1303.5,47.2,0
21,car,4.5,road_loopA_f0,road_loopA_f1,2162.4,2255.7,93.3,1302.8,50.3,0
27,car,4.5,road_loopA_r0,road_loopA_r1,2165.4,2256.6,91.2,1297.5,51.2,0
22,suv,4.8,road_loopA_f0,road_loopA_f1,2163.4,2257.1,93.7,1302.8,50.0,0
24,car,4.5,road_loopA_f0,road_loopA_f1,2164.6,2261.5,96.9,1303.6,48.4,0
19,truck,8.5,road_loopA_f0,road_loopA_f1,2161.8,2265.8,104.0,1302.9,45.1,0
43,car,4.5,road_loopA_f0,xloopA_0Bb,2186.9,2267.8,80.9,478.8,21.3,2
13,truck,8.5,road_loopA_f0,road_loopA_f1,2155.5,2268.8,113.3,1304.0,41.4,0
9,suv,4.8,road_loopA_f0,road_loopA_f1,2151.6,2269.9,118.3,1303.3,39.7,0
32,car,4.5,road_loopA_f0,road_loopA_f1,2174.4,2270.6,96.2,1304.0,48.8,0
36,car,4.5,road_loopA_f0,road_loopA_f1,2178.3,2272.3,94.0,1303.1,49.9,0
51,truck,8.5,road_loopA_f0,xloopA_0Bb,2196.1,2273.1,77.0,478.7,22.4,2
76,car,4.5,road_loopA_f0,xloopA_0Bb,2222.3,2276.7,54.4,478.7,31.7,0
45,car,4.5,road_loopA_f0,road_loopA_f1,2188.1,2277.7,89.6,1303.9,52.4,0
25,truck,8.5,road_loopA_f0,road_loopA_f1,2164.9,2279.5,114.6,1302.9,40.9,0
26,truck,8.5,road_loopA_f0,road_loopA_f1,2165.2,2279.8,114.6,1303.1,40.9,0
29,suv,4.8,road_loopA_f0,road_loopA_f1,2170.2,2281.5,111.3,1303.0,42.2,0
35,suv,4.8,road_loopA_f0,road_loopA_f1,2177.9,2283.0,105.1,1303.8,44.7,0
100,suv,4.8,road_loopA_f0,xloopA_0Bb,2240.9,2283.9,43.0,479.1,40.1,0
39,car,4.5,road_loopA_f0,road_loopA_f1,2180.4,2284.4,104.0,1303.4,45.1,0
34,car,4.5,road_loopA_r0,road_loopA_r1,2176.1,2285.8,109.7,1297.6,42.6,1
37,car,4.5,road_loopA_r0,road_loopA_r1,2178.6,2289.6,111.0,1298.2,42.1,1
42,car,4.5,road_loopA_r0,road_loopA_r1,2185.1,2292.5,107.4,1297.8,43.5,1
23,truck,8.5,road_loopA_r0,road_loopA_r1,2163.9,2294.2,130.3,1298.3,35.9,1
40,car,4.5,road_loopA_r0,road_loopA_r1,2182.5,2294.2,111.7,1298.4,41.8,1
48,car,4.5,road_loopA_r0,road_loopA_r1,2194.6,2295.2,100.6,1297.3,46.4,0
41,car,4.5,road_loopA_r0,road_loopA_r1,2185.0,2296.9,111.9,1298.0,41.8,1
28,car,4.5,road_loopA_r0,xloopA_0Bb,2166.4,2297.6,131.2,895.8,24.6,1
57,car,4.5,road_loopA_f0,xloopA_0Ab,2205.0,2298.1,93.1,505.2,19.5,1
59,suv,4.8,road_loopA_r0,road_loopA_r1,2208.5,2298.1,89.6,1298.2,52.2,0
53,suv,4.8,road_loopA_r0,road_loopA_r1,2199.1,2298.4,99.3,1298.2,47.1,0
58,car,4.5,road_loopA_r0,road_loopA_r1,2205.8,2300.5,94.7,1297.9,49.3,0
61,car,4.5,road_loopA_r0,road_loopA_r1,2210.2,2300.7,90.5,1297.9,51.6,0
67,car,4.5,road_loopA_f0,xloopA_0Ab,2213.7,2300.7,87.0,505.3,20.9,1
95,car,4.5,road_loopA_f0,xloopA_0Ab,2237.7,2303.3,65.6,505.0,27.7,1
30,car,4.5,road_loopA_r0,road_loopA_r1,2173.3,2304.1,130.8,1298.4,35.7,1
64,car,4.5,road_loopA_r0,road_loopA_r1,2212.3,2305.0,92.7,1298.1,50.4,0
44,truck,8.5,road_loopA_r0,road_loopA_r1,2187.1,2306.0,118.9,1297.9,39.3,0
88,car,4.5,xloopA_0Aa,road_loopA_r1,2233.4,2306.0,72.6,506.7,25.1,0
69,car,4.5,road_loopA_r0,road_loopA_r1,2217.0,2307.0,90.0,1298.4,51.9,0
71,car,4.5,road_loopA_r0,road_loopA_r1,2218.7,2308.5,89.8,1298.6,52.1,0
116,car,4.5,xloopA_0Ba,xloopA_0Bb,2252.1,2309.1,57.0,84.7,5.3,1
146,car,4.5,xloopA_0Aa,xloopA_0Ab,2280.3,2309.2,28.9,84.1,10.5,1
74,car,4.5,road_loopA_r0,road_loopA_r1,2221.5,2311.1,89.6,1298.1,52.2,0
122,car,4.5,xloopA_0Ba,xloopA_0Bb,2256.2,2311.3,55.1,84.8,5.5,1
153,car,4.5,xloopA_0Aa,xloopA_0Ab,2285.3,2311.3,26.0,84.3,11.7,1
171,car,4.5,xloopA_0Aa,xloopA_0Ab,2297.2,2313.5,16.3,84.8,18.8,0
50,suv,4.8,road_loopA_f0,road_loopA_f1,2196.0,2313.8,117.8,1304.2,39.9,1
49,car,4.5,road_loopA_r0,road_loopA_r1,2194.7,2313.9,119.2,1298.2,39.2,0
54,car,4.5,road_loopA_f0,road_loopA_f1,2202.3,2316.1,113.8,1304.1,41.2,1
60,car,4.5,road_loopA_f0,road_loopA_f1,2208.7,2316.2,107.5,1302.8,43.6,1
63,suv,4.8,road_loopA_r0,road_loopA_r1,2211.9,2316.8,104.9,1297.7,44.6,0
68,car,4.5,road_loopA_f0,road_loopA_f1,2215.6,2317.9,102.3,1304.2,45.9,1
46,truck,8.5,road_loopA_f0,road_loopA_f1,2193.1,2321.8,128.7,1304.0,36.5,1
52,suv,4.8,road_loopA_f0,road_loopA_f1,2198.4,2323.8,125.4,1304.0,37.4,1
81,car,4.5,road_loopA_f0,road_loopA_f1,2228.4,2323.9,95.5,1302.9,49.1,0
55,car,4.5,road_loopA_f0,road_loopA_f1,2202.3,2325.5,123.2,1303.2,38.1,1
62,car,4.5,road_loopA_f0,road_loopA_f1,2211.7,2326.3,114.6,1302.8,40.9,1
73,car,4.5,road_loopA_f0,road_loopA_f1,2219.9,2326.7,106.8,1304.2,44.0,0
56,car,4.5,road_loopA_f0,road_loopA_f1,2203.5,2327.4,123.9,1303.7,37.9,1
92,car,4.5,road_loopA_f0,road_loopA_f1,2236.1,2328.5,92.4,1303.4,50.8,0
91,car,4.5,road_loopA_f0,road_loopA_f1,2236.0,2329.1,93.1,1304.2,50.5,0
150,car,4.5,road_loopA_f0,xloopA_0Bb,2283.0,2330.0,47.0,478.6,36.7,0
93,suv,4.8,road_loopA_f0,road_loopA_f1,2236.3,2330.6,94.3,1303.2,49.7,0
97,car,4.5,road_loopA_f0,road_loopA_f1,2238.8,2330.8,92.0,1303.9,51.0,0
75,truck,8.5,road_loopA_f0,road_loopA_f1,2221.5,2332.2,110.7,1303.0,42.4,0
101,car,4.5,road_loopA_f0,road_loopA_f1,2241.8,2332.2,90.4,1302.8,51.9,0
157,car,4.5,road_loopA_f0,xloopA_0Bb,2288.2,2333.4,45.2,478.6,38.1,0
104,suv,4.8,road_loopA_f0,road_loopA_f1,2244.0,2334.0,90.0,1303.4,52.1,0
102,suv,4.8,road_loopA_f0,road_loopA_f1,2242.5,2334.6,92.1,1303.1,51.0,0
106,suv,4.8,road_loopA_f0,road_loopA_f1,2244.7,2335.8,91.1,1303.8,51.5,0
107,car,4.5,road_loopA_f0,road_loopA_f1,2246.1,2336.3,90.2,1303.0,52.0,0
110,car,4.5,road_loopA_f0,road_loopA_f1,2246.8,2337.7,90.9,1303.1,51.6,0
82,car,4.5,road_loopA_f0,road_loopA_f1,2228.9,2338.6,109.7,1303.7,42.8,0
163,suv,4.8,road_loopA_f0,xloopA_0Bb,2291.1,2342.9,51.8,479.0,33.3,0
