section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,323.1,4861.7,4538.6,2126.4
loopA 순환,4,803.1,5453.0,4649.9,2237.7
loopA 순환,6,1299.8,5892.2,4592.4,2180.2
loopA 순환,8,1763.1,6348.9,4585.8,2173.6
loopA 순환,97,2243.1,6794.9,4551.8,2139.6
loopA 순환,637,2739.7,7340.7,4601.0,2188.8
loopA 순환,1194,3203.1,7975.3,4772.2,2360.0
loopB 순환,1,258.3,4921.5,4663.2,2253.2
loopB 순환,3,738.3,5452.7,4714.4,2304.4
loopB 순환,5,1218.3,5898.9,4680.6,2270.6
loopB 순환,7,1698.3,6240.1,4541.8,2131.8
loopB 순환,21,2178.3,6899.0,4720.7,2310.7
loopB 순환,561,2658.3,7350.1,4691.8,2281.8
loopB 순환,1118,3138.3,7780.6,4642.3,2232.3
