veh_id,kind,length_m,origin,destination,depart_s,arrive_s,travel_s,dist_m,avg_kmh,stops
6691,car,4.5,xloopA_0Ba,xloopA_0Bb,2152.2,2232.9,80.7,84.5,3.8,1
6688,car,4.5,xloopA_0Aa,xloopA_0Ab,2151.1,2233.3,82.2,84.5,3.7,1
6687,car,4.5,road_loopA_f0,road_loopA_f1,2150.1,2239.5,89.4,1303.1,52.5,0
6705,car,4.5,xloopA_0Ba,xloopA_0Bb,2161.3,2239.9,78.6,84.2,3.9,1
6692,suv,4.8,road_loopA_r0,road_loopA_r1,2152.9,2243.2,90.3,1298.2,51.8,0
6693,car,4.5,road_loopA_f0,road_loopA_f1,2154.1,2245.4,91.3,1303.2,51.4,0
6690,suv,4.8,road_loopA_f0,road_loopA_f1,2151.8,2246.1,94.3,1303.7,49.7,0
6721,suv,4.8,road_loopA_f0,xloopA_0Ab,2177.6,2246.8,69.2,505.2,26.3,1
6695,truck,8.5,road_loopA_r0,road_loopA_r1,2154.6,2247.6,93.0,1297.6,50.2,0
6706,suv,4.8,road_loopA_r0,xloopA_0Bb,2162.1,2247.6,85.5,895.8,37.7,1
6694,suv,4.8,road_loopA_f0,road_loopA_f1,2154.6,2248.3,93.7,1303.0,50.1,0
6689,car,4.5,road_loopA_f0,road_loopA_f1,2151.1,2249.4,98.3,1303.7,47.7,0
6737,car,4.5,road_loopA_f0,xloopA_0Ab,2188.2,2249.4,61.2,505.0,29.7,1
6697,car,4.5,road_loopA_f0,road_loopA_f1,2156.4,2250.0,93.6,1303.0,50.1,0
6704,suv,4.8,road_loopA_f0,road_loopA_f1,2160.4,2251.2,90.8,1303.9,51.7,0
6745,car,4.5,road_loopA_f0,xloopA_0Ab,2191.6,2252.1,60.5,505.2,30.1,1
6707,suv,4.8,road_loopA_f0,road_loopA_f1,2163.2,2258.0,94.8,1303.6,49.5,0
6699,car,4.5,road_loopA_f0,road_loopA_f1,2157.5,2258.5,101.0,1303.1,46.4,0
6709,car,4.5,road_loopA_f0,road_loopA_f1,2164.2,2259.0,94.8,1303.7,49.5,0
6703,car,4.5,road_loopA_f0,road_loopA_f1,2159.2,2263.3,104.1,1303.8,45.1,0
6715,car,4.5,road_loopA_f0,road_loopA_f1,2171.6,2263.4,91.8,1303.9,51.1,0
6732,car,4.5,road_loopA_f0,xloopA_0Bb,2186.5,2265.1,78.6,478.8,21.9,2
6719,suv,4.8,road_loopA_f0,road_loopA_f1,2176.0,2265.9,89.9,1302.9,52.2,0
6701,suv,4.8,road_loopA_f0,road_loopA_f1,2158.9,2267.4,108.5,1303.2,43.3,0
6713,suv,4.8,road_loopA_f0,road_loopA_f1,2170.6,2267.9,97.3,1303.8,48.2,0
6750,car,4.5,road_loopA_r0,xloopA_0Ab,2193.1,2268.5,75.4,869.3,41.5,0
6716,suv,4.8,road_loopA_f0,road_loopA_f1,2171.6,2270.1,98.5,1302.8,47.6,0
6696,car,4.5,road_loopA_f0,road_loopA_f1,2155.6,2271.5,115.9,1303.6,40.5,0
6712,car,4.5,road_loopA_f0,road_loopA_f1,2166.2,2271.6,105.4,1302.8,44.5,0
6698,suv,4.8,road_loopA_f0,road_loopA_f1,2156.6,2273.3,116.7,1302.8,40.2,0
6728,car,4.5,road_loopA_f0,road_loopA_f1,2182.8,2274.2,91.4,1304.1,51.4,0
6724,car,4.5,road_loopA_f0,road_loopA_f1,2178.6,2278.8,100.2,1302.8,46.8,0
6708,suv,4.8,road_loopA_r0,road_loopA_r1,2163.6,2281.4,117.8,1298.1,39.7,1
6711,car,4.5,road_loopA_r0,road_loopA_r1,2165.1,2284.1,119.0,1298.3,39.3,1
6722,car,4.5,road_loopA_f0,road_loopA_f1,2178.3,2284.3,106.0,1303.5,44.3,0
6714,car,4.5,road_loopA_r0,road_loopA_r1,2171.2,2286.2,115.0,1298.3,40.7,1
6720,suv,4.8,road_loopA_r0,road_loopA_r1,2176.3,2288.9,112.6,1297.5,41.5,1
6726,car,4.5,road_loopA_r0,road_loopA_r1,2180.8,2290.7,109.9,1298.6,42.6,0
6725,truck,8.5,road_loopA_r0,road_loopA_r1,2180.2,2290.8,110.6,1298.4,42.3,0
6738,car,4.5,road_loopA_r0,road_loopA_r1,2188.6,2293.1,104.5,1297.6,44.7,0
6746,car,4.5,road_loopA_r0,road_loopA_r1,2191.8,2294.5,102.7,1297.4,45.5,0
6739,car,4.5,road_loopA_r0,road_loopA_r1,2190.4,2296.4,106.0,1297.8,44.1,0
6734,car,4.5,road_loopA_r0,road_loopA_r1,2187.1,2297.5,110.4,1298.1,42.3,0
6731,car,4.5,road_loopA_r0,road_loopA_r1,2184.7,2299.3,114.6,1298.1,40.8,0
6775,car,4.5,xloopA_0Aa,road_loopA_r1,2214.0,2301.0,87.0,506.8,21.0,0
6741,car,4.5,road_loopA_r0,road_loopA_r1,2191.1,2302.1,111.0,1298.1,42.1,0
6700,car,4.5,road_loopA_r0,road_loopA_r1,2158.5,2302.6,144.1,1297.3,32.4,1
6723,car,4.5,road_loopA_r0,road_loopA_r1,2178.4,2302.6,124.2,1297.8,37.6,0
6742,truck,8.5,road_loopA_r0,road_loopA_r1,2191.1,2303.6,112.5,1297.3,41.5,0
6733,car,4.5,road_loopA_r0,road_loopA_r1,2186.9,2303.8,116.9,1297.4,39.9,1
6718,car,4.5,road_loopA_r0,road_loopA_r1,2175.8,2304.3,128.5,1298.1,36.4,1
6772,car,4.5,road_loopA_r0,road_loopA_r1,2211.9,2305.9,94.0,1298.5,49.7,0
6727,car,4.5,road_loopA_r0,road_loopA_r1,2180.9,2306.0,125.1,1297.2,37.3,0
6764,car,4.5,road_loopA_r0,road_loopA_r1,2204.3,2306.2,101.9,1297.9,45.9,0
6759,car,4.5,road_loopA_r0,road_loopA_r1,2199.1,2307.7,108.6,1297.5,43.0,0
6761,truck,8.5,road_loopA_r0,road_loopA_r1,2202.4,2308.4,106.0,1297.7,44.1,0
6774,car,4.5,road_loopA_r0,road_loopA_r1,2212.9,2309.1,96.2,1297.9,48.6,0
6779,suv,4.8,road_loopA_r0,road_loopA_r1,2214.8,2311.4,96.6,1298.1,48.4,0
6730,suv,4.8,road_loopA_f0,road_loopA_f1,2184.5,2314.5,130.0,1303.9,36.1,1
6736,car,4.5,road_loopA_f0,road_loopA_f1,2188.2,2316.2,128.0,1303.0,36.6,1
6743,car,4.5,road_loopA_f0,road_loopA_f1,2191.2,2317.1,125.9,1303.2,37.3,1
6753,car,4.5,road_loopA_f0,road_loopA_f1,2195.6,2318.8,123.2,1303.7,38.1,1
6785,car,4.5,road_loopA_r0,road_loopA_r1,2220.9,2319.9,99.0,1297.3,47.2,0
6749,suv,4.8,road_loopA_f0,road_loopA_f1,2192.7,2320.6,127.9,1303.1,36.7,1
6773,car,4.5,road_loopA_r0,road_loopA_r1,2212.0,2322.0,110.0,1298.0,42.5,0
6710,car,4.5,xloopA_0Ba,xloopA_0Bb,2164.7,2322.4,157.7,84.2,1.9,1
6748,car,4.5,road_loopA_f0,road_loopA_f1,2192.7,2322.6,129.9,1303.3,36.1,1
6729,truck,8.5,road_loopA_f0,road_loopA_f1,2184.2,2322.7,138.5,1303.8,33.9,1
6787,suv,4.8,road_loopA_r0,road_loopA_r1,2224.2,2323.0,98.8,1298.5,47.3,0
6781,car,4.5,road_loopA_r0,road_loopA_r1,2219.9,2323.7,103.8,1298.0,45.0,0
6758,car,4.5,road_loopA_f0,road_loopA_f1,2197.5,2323.8,126.3,1303.3,37.1,1
6830,car,4.5,xloopA_0Aa,xloopA_0Ab,2262.9,2324.6,61.7,84.0,4.9,1
6754,car,4.5,road_loopA_f0,road_loopA_f1,2195.8,2325.4,129.6,1303.5,36.2,1
6795,car,4.5,road_loopA_r0,road_loopA_r1,2232.6,2325.4,92.8,1297.3,50.3,0
6717,car,4.5,xloopA_0Ba,xloopA_0Bb,2172.9,2325.6,152.7,84.1,2.0,1
6751,truck,8.5,road_loopA_f0,road_loopA_f1,2193.6,2326.3,132.7,1303.2,35.4,1
6841,car,4.5,xloopA_0Aa,xloopA_0Ab,2271.7,2326.7,55.0,84.1,5.5,1
6767,truck,8.5,road_loopA_r0,road_loopA_r1,2206.8,2327.8,121.0,1298.3,38.6,0
6777,car,4.5,xloopA_0Ba,xloopA_0Bb,2214.8,2327.8,113.0,84.0,2.7,1
6770,car,4.5,road_loopA_f0,road_loopA_f1,2210.2,2327.9,117.7,1304.0,39.9,1
6762,car,4.5,road_loopA_f0,road_loopA_f1,2203.7,2328.2,124.5,1302.9,37.7,1
6791,car,4.5,road_loopA_r0,road_loopA_r1,2227.4,2328.9,101.5,1298.0,46.0,0
6744,bus,11.0,road_loopA_r0,road_loopA_r1,2191.2,2329.1,137.9,1297.5,33.9,1
6784,suv,4.8,road_loopA_r0,road_loopA_r1,2220.4,2329.7,109.3,1298.1,42.7,0
6782,car,4.5,xloopA_0Ba,xloopA_0Bb,2220.1,2330.0,109.9,84.5,2.8,0
6776,car,4.5,road_loopA_f0,road_loopA_f1,2214.2,2330.6,116.4,1303.8,40.3,1
6702,car,4.5,xloopA_0Ba,road_loopA_f1,2159.1,2330.7,171.6,902.3,18.9,1
6786,car,4.5,road_loopA_r0,road_loopA_r1,2222.4,2331.5,109.1,1298.5,42.8,0
6735,truck,8.5,road_loopA_f0,road_loopA_f1,2187.8,2331.8,144.0,1303.8,32.6,1
6768,bus,11.0,road_loopA_r0,road_loopA_r1,2208.9,2331.8,122.9,1298.6,38.0,0
6752,suv,4.8,road_loopA_f0,road_loopA_f1,2194.5,2332.9,138.4,1303.9,33.9,1
6747,suv,4.8,road_loopA_f0,road_loopA_f1,2192.7,2333.7,141.0,1303.4,33.3,1
6766,car,4.5,road_loopA_f0,road_loopA_f1,2206.0,2334.4,128.4,1303.1,36.5,1
