veh_id,kind,length_m,origin,destination,depart_s,arrive_s,travel_s,dist_m,avg_kmh,stops
9,car,4.5,road_loopA_f0,xloopA_0Ab,2150.4,2206.9,56.5,504.9,32.1,0
13,car,4.5,xloopA_0Aa,xloopA_0Ab,2153.4,2218.0,64.6,84.2,4.7,1
23,car,4.5,xloopA_0Ba,xloopA_0Bb,2161.7,2218.6,56.9,84.1,5.3,1
46,car,4.5,xloopA_0Aa,xloopA_0Ab,2180.8,2220.7,39.9,84.7,7.6,1
43,car,4.5,xloopA_0Ba,xloopA_0Bb,2178.9,2220.8,41.9,84.3,7.3,1
59,car,4.5,xloopA_0Ba,xloopA_0Bb,2187.0,2223.2,36.2,84.4,8.4,1
73,car,4.5,xloopA_0Ba,xloopA_0Bb,2200.6,2225.3,24.7,84.4,12.3,0
91,car,4.5,xloopA_0Ba,xloopA_0Bb,2215.1,2227.3,12.2,84.5,25.0,0
16,car,4.5,road_loopA_r0,xloopA_0Ab,2154.5,2237.2,82.7,869.0,37.8,1
12,car,4.5,road_loopA_f0,road_loopA_f1,2153.0,2242.4,89.4,1303.1,52.5,0
17,suv,4.8,road_loopA_f0,road_loopA_f1,2154.9,2244.2,89.3,1303.1,52.5,0
14,car,4.5,road_loopA_r0,xloopA_0Ab,2153.4,2244.7,91.3,868.9,34.3,1
19,car,4.5,road_loopA_f0,road_loopA_f1,2156.5,2245.9,89.4,1303.1,52.5,0
11,suv,4.8,road_loopA_r0,xloopA_0Ab,2151.9,2252.6,100.7,869.3,31.1,1
56,car,4.5,road_loopA_r0,xloopA_0Ab,2184.9,2254.8,69.9,869.4,44.8,0
15,car,4.5,road_loopA_r0,road_loopA_r1,2153.6,2262.3,108.7,1297.7,43.0,1
24,car,4.5,road_loopA_r0,road_loopA_r1,2162.2,2263.8,101.6,1297.4,46.0,1
10,car,4.5,road_loopA_r0,road_loopA_r1,2151.2,2265.9,114.7,1297.6,40.7,1
21,car,4.5,road_loopA_r0,road_loopA_r1,2159.5,2268.7,109.2,1298.1,42.8,1
20,truck,8.5,road_loopA_r0,road_loopA_r1,2158.4,2268.8,110.4,1297.3,42.3,0
103,truck,8.5,road_loopA_f0,xloopA_0Bb,2227.7,2269.5,41.8,479.0,41.2,0
18,suv,4.8,road_loopA_r0,road_loopA_r1,2156.5,2270.0,113.5,1298.2,41.2,1
22,suv,4.8,road_loopA_r0,road_loopA_r1,2161.5,2270.8,109.3,1298.1,42.7,0
30,suv,4.8,road_loopA_r0,road_loopA_r1,2165.7,2271.3,105.6,1297.9,44.2,0
27,suv,4.8,road_loopA_r0,road_loopA_r1,2164.1,2272.5,108.4,1297.5,43.1,0
38,car,4.5,road_loopA_r0,road_loopA_r1,2177.1,2273.9,96.8,1297.3,48.2,0
37,car,4.5,road_loopA_r0,road_loopA_r1,2176.5,2274.3,97.8,1297.6,47.8,0
42,suv,4.8,road_loopA_r0,road_loopA_r1,2178.0,2276.7,98.7,1297.9,47.3,0
50,car,4.5,road_loopA_r0,road_loopA_r1,2182.7,2278.1,95.4,1298.0,49.0,0
45,car,4.5,road_loopA_r0,road_loopA_r1,2179.9,2278.5,98.6,1298.5,47.4,0
52,car,4.5,road_loopA_r0,road_loopA_r1,2183.0,2280.2,97.2,1298.1,48.1,0
40,car,4.5,road_loopA_r0,road_loopA_r1,2177.3,2280.4,103.1,1297.5,45.3,0
65,car,4.5,road_loopA_r0,road_loopA_r1,2190.8,2281.6,90.8,1297.5,51.4,0
44,car,4.5,road_loopA_r0,road_loopA_r1,2179.8,2282.1,102.3,1297.5,45.7,0
66,car,4.5,road_loopA_r0,road_loopA_r1,2192.6,2283.3,90.7,1298.6,51.6,0
49,car,4.5,road_loopA_r0,road_loopA_r1,2182.4,2283.9,101.5,1298.1,46.0,0
51,car,4.5,road_loopA_r0,road_loopA_r1,2182.8,2285.7,102.9,1298.3,45.4,0
54,suv,4.8,road_loopA_r0,road_loopA_r1,2184.1,2285.8,101.7,1298.5,46.0,0
72,suv,4.8,road_loopA_r0,road_loopA_r1,2198.8,2287.9,89.1,1297.7,52.4,0
28,suv,4.8,road_loopA_f0,road_loopA_f1,2165.4,2289.7,124.3,1303.7,37.8,1
29,car,4.5,road_loopA_f0,road_loopA_f1,2165.6,2291.3,125.7,1304.1,37.4,1
67,suv,4.8,road_loopA_r0,road_loopA_r1,2192.9,2291.9,99.0,1298.3,47.2,0
25,car,4.5,road_loopA_f0,road_loopA_f1,2162.9,2292.5,129.6,1303.5,36.2,1
32,car,4.5,road_loopA_f0,road_loopA_f1,2168.7,2294.2,125.5,1303.6,37.4,1
34,suv,4.8,road_loopA_f0,road_loopA_f1,2170.1,2295.2,125.1,1302.8,37.5,1
35,car,4.5,road_loopA_f0,road_loopA_f1,2171.8,2297.6,125.8,1304.1,37.3,1
31,truck,8.5,road_loopA_f0,road_loopA_f1,2167.1,2299.3,132.2,1303.8,35.5,1
76,car,4.5,road_loopA_r0,road_loopA_r1,2203.8,2299.7,95.9,1297.9,48.7,0
130,suv,4.8,road_loopA_f0,xloopA_0Bb,2259.9,2300.0,40.1,478.9,43.0,0
33,car,4.5,road_loopA_f0,road_loopA_f1,2169.8,2301.3,131.5,1302.9,35.7,1
70,truck,8.5,road_loopA_r0,road_loopA_r1,2197.2,2301.6,104.4,1297.8,44.8,0
80,car,4.5,road_loopA_r0,road_loopA_r1,2206.3,2302.8,96.5,1297.6,48.4,0
74,car,4.5,road_loopA_r0,road_loopA_r1,2201.6,2303.6,102.0,1297.8,45.8,0
48,suv,4.8,road_loopA_f0,road_loopA_f1,2182.1,2305.0,122.9,1303.7,38.2,1
85,suv,4.8,road_loopA_r0,road_loopA_r1,2210.1,2305.4,95.3,1298.3,49.0,0
