section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,148.2,4523.9,4375.7,1963.5
loopA 순환,3,629.9,4864.3,4234.4,1822.2
loopA 순환,5,1109.5,5585.0,4475.5,2063.3
loopA 순환,7,1588.2,5886.9,4298.7,1886.5
loopA 순환,9,2068.2,6440.0,4371.8,1959.6
loopA 순환,482,2551.1,6710.6,4159.5,1747.3
loopA 순환,1010,3028.2,7318.4,4290.2,1878.0
loopA 순환,1556,3512.0,7892.1,4380.1,1967.9
loopB 순환,2,312.3,4733.7,4421.4,2011.4
loopB 순환,4,792.3,5249.1,4456.8,2046.8
loopB 순환,6,1272.3,5549.7,4277.4,1867.4
loopB 순환,8,1752.3,6059.7,4307.4,1897.4
loopB 순환,101,2232.3,6334.2,4101.9,1691.9
loopB 순환,647,2712.3,6838.6,4126.3,1716.3
loopB 순환,1199,3192.3,7414.1,4221.8,1811.8
loopB 순환,1732,3672.3,7869.0,4196.7,1786.7
