veh_id,kind,length_m,origin,destination,depart_s,arrive_s,travel_s,dist_m,avg_kmh,stops
27,car,4.5,xloopA_0Aa,xloopA_0Ab,2163.9,2197.8,33.9,84.0,8.9,1
39,car,4.5,xloopA_0Aa,xloopA_0Ab,2174.6,2200.1,25.5,84.7,12.0,1
35,suv,4.8,road_loopA_f0,xloopA_0Bb,2169.7,2220.5,50.8,479.1,33.9,1
62,suv,4.8,road_loopA_f0,xloopA_0Bb,2190.3,2233.4,43.1,478.9,40.0,0
65,car,4.5,road_loopA_f0,xloopA_0Bb,2190.9,2236.4,45.5,478.8,37.8,0
12,suv,4.8,road_loopA_r0,road_loopA_r1,2151.6,2241.8,90.2,1297.8,51.8,0
31,car,4.5,road_loopA_r0,xloopA_0Ab,2167.4,2242.7,75.3,869.3,41.6,0
40,car,4.5,road_loopA_r0,xloopA_0Ab,2174.7,2246.0,71.3,869.2,43.9,0
20,car,4.5,xloopA_0Aa,road_loopA_r1,2157.4,2246.4,89.0,507.2,20.5,1
43,car,4.5,xloopA_0Ba,road_loopA_r1,2177.3,2248.0,70.7,476.6,24.3,1
16,car,4.5,road_loopA_r0,xloopA_0Ab,2154.0,2249.0,95.0,869.3,32.9,1
13,car,4.5,road_loopA_r0,road_loopA_r1,2151.8,2249.5,97.7,1297.7,47.8,0
10,suv,4.8,road_loopA_r0,road_loopA_r1,2151.3,2249.6,98.3,1297.5,47.5,0
84,car,4.5,road_loopA_f0,xloopA_0Bb,2209.2,2250.3,41.1,478.8,42.0,0
18,car,4.5,road_loopA_r0,road_loopA_r1,2155.3,2251.8,96.5,1298.6,48.4,0
57,car,4.5,road_loopA_r0,xloopA_0Ab,2185.3,2251.9,66.6,869.6,47.0,0
15,car,4.5,road_loopA_r0,road_loopA_r1,2153.3,2254.1,100.8,1298.0,46.4,0
21,suv,4.8,road_loopA_r0,road_loopA_r1,2158.2,2255.9,97.7,1297.9,47.8,0
32,car,4.5,road_loopA_r0,road_loopA_r1,2167.5,2256.5,89.0,1298.5,52.5,0
33,car,4.5,road_loopA_r0,road_loopA_r1,2168.0,2257.3,89.3,1297.3,52.3,0
38,suv,4.8,road_loopA_r0,road_loopA_r1,2172.8,2261.7,88.9,1297.3,52.5,0
67,car,4.5,road_loopA_r0,xloopA_0Ab,2192.2,2263.8,71.6,869.0,43.7,0
100,car,4.5,road_loopA_f0,xloopA_0Bb,2225.3,2265.4,40.1,478.9,43.0,0
14,suv,4.8,road_loopA_f0,road_loopA_f1,2152.2,2265.6,113.4,1304.2,41.4,1
23,car,4.5,road_loopA_f0,road_loopA_f1,2160.0,2267.1,107.1,1303.5,43.8,1
70,car,4.5,road_loopA_r0,xloopA_0Ab,2196.6,2267.1,70.5,868.9,44.4,0
24,car,4.5,road_loopA_f0,road_loopA_f1,2161.6,2268.6,107.0,1303.7,43.8,1
41,suv,4.8,road_loopA_r0,road_loopA_r1,2176.2,2269.0,92.8,1297.7,50.4,0
36,bus,11.0,road_loopA_r0,road_loopA_r1,2170.0,2270.7,100.7,1297.4,46.4,0
44,car,4.5,road_loopA_r0,road_loopA_r1,2178.1,2270.7,92.6,1297.5,50.4,0
51,car,4.5,road_loopA_r0,road_loopA_r1,2181.9,2271.3,89.4,1298.3,52.3,0
46,car,4.5,road_loopA_r0,road_loopA_r1,2179.4,2272.9,93.5,1298.0,50.0,0
47,car,4.5,road_loopA_r0,xloopA_0Ab,2180.3,2273.1,92.8,869.4,33.7,1
25,car,4.5,road_loopA_f0,road_loopA_f1,2161.8,2273.5,111.7,1303.5,42.0,1
52,car,4.5,road_loopA_r0,road_loopA_r1,2181.9,2273.6,91.7,1298.3,51.0,0
26,suv,4.8,road_loopA_f0,road_loopA_f1,2162.1,2274.8,112.7,1303.6,41.6,1
30,suv,4.8,road_loopA_f0,road_loopA_f1,2166.1,2275.9,109.8,1303.6,42.7,1
48,car,4.5,road_loopA_f0,road_loopA_f1,2180.6,2276.5,95.9,1303.4,48.9,0
58,car,4.5,road_loopA_r0,road_loopA_r1,2187.9,2276.9,89.0,1297.3,52.5,0
42,truck,8.5,road_loopA_f0,road_loopA_f1,2176.3,2278.0,101.7,1303.2,46.1,0
50,suv,4.8,road_loopA_f0,road_loopA_f1,2181.5,2278.2,96.7,1303.8,48.5,0
59,car,4.5,road_loopA_r0,road_loopA_r1,2189.7,2278.6,88.9,1297.3,52.5,0
54,car,4.5,road_loopA_f0,road_loopA_f1,2183.7,2280.0,96.3,1303.0,48.7,0
56,suv,4.8,road_loopA_f0,road_loopA_f1,2185.3,2281.8,96.5,1302.8,48.6,0
61,suv,4.8,road_loopA_r0,road_loopA_r1,2190.1,2283.7,93.6,1298.1,49.9,0
45,car,4.5,road_loopA_f0,road_loopA_f1,2178.4,2284.6,106.2,1303.1,44.2,0
60,car,4.5,road_loopA_f0,road_loopA_f1,2190.2,2286.8,96.6,1303.0,48.5,0
63,car,4.5,road_loopA_r0,road_loopA_r1,2190.5,2287.5,97.0,1298.0,48.2,0
53,car,4.5,road_loopA_f0,road_loopA_f1,2182.1,2288.5,106.4,1303.2,44.1,0
69,car,4.5,road_loopA_f0,road_loopA_f1,2192.8,2288.5,95.7,1303.2,49.0,0
75,car,4.5,road_loopA_r0,road_loopA_r1,2201.3,2290.2,88.9,1297.3,52.5,0
74,suv,4.8,road_loopA_f0,road_loopA_f1,2198.5,2291.0,92.5,1303.0,50.7,0
76,car,4.5,road_loopA_f0,road_loopA_f1,2203.3,2292.9,89.6,1303.5,52.4,0
22,car,4.5,road_loopA_f0,xloopA_0Ab,2159.9,2293.6,133.7,505.1,13.6,1
28,truck,8.5,road_loopA_r0,xloopA_0Bb,2164.5,2294.5,130.0,895.9,24.8,1
78,suv,4.8,road_loopA_r0,road_loopA_r1,2205.8,2295.4,89.6,1297.4,52.1,0
34,suv,4.8,road_loopA_f0,xloopA_0Ab,2168.2,2296.3,128.1,505.6,14.2,1
80,car,4.5,road_loopA_r0,road_loopA_r1,2207.4,2297.3,89.9,1297.9,52.0,0
37,car,4.5,road_loopA_r0,xloopA_0Bb,2170.6,2297.4,126.8,895.5,25.4,1
81,suv,4.8,road_loopA_f0,road_loopA_f1,2207.7,2297.4,89.7,1303.7,52.3,0
