veh_id,kind,length_m,origin,destination,depart_s,arrive_s,travel_s,dist_m,avg_kmh,stops
27,car,4.5,xloopA_0Aa,xloopA_0Ab,2163.9,2176.4,12.5,84.5,24.3,0
35,suv,4.8,road_loopA_f0,xloopA_0Bb,2169.7,2211.7,42.0,479.0,41.0,0
20,car,4.5,xloopA_0Aa,road_loopA_r1,2157.4,2223.3,65.9,506.9,27.7,1
62,suv,4.8,road_loopA_f0,xloopA_0Bb,2190.3,2232.2,41.9,479.1,41.1,0
65,car,4.5,road_loopA_f0,xloopA_0Bb,2190.9,2235.1,44.2,478.9,39.0,0
10,suv,4.8,road_loopA_r0,road_loopA_r1,2151.3,2240.2,88.9,1297.3,52.5,0
12,suv,4.8,road_loopA_r0,road_loopA_r1,2151.6,2240.5,88.9,1297.3,52.5,0
14,suv,4.8,road_loopA_f0,road_loopA_f1,2152.2,2242.0,89.8,1303.3,52.2,0
31,car,4.5,road_loopA_r0,xloopA_0Ab,2167.4,2242.7,75.3,869.3,41.6,0
13,car,4.5,road_loopA_r0,road_loopA_r1,2151.8,2244.1,92.3,1297.8,50.6,0
40,car,4.5,road_loopA_r0,xloopA_0Ab,2174.7,2246.0,71.3,869.2,43.9,0
19,suv,4.8,road_loopA_f0,road_loopA_f1,2157.2,2246.5,89.3,1303.1,52.5,0
18,car,4.5,road_loopA_r0,road_loopA_r1,2155.3,2248.5,93.2,1297.7,50.1,0
16,car,4.5,road_loopA_r0,xloopA_0Ab,2154.0,2249.0,95.0,869.3,32.9,1
23,car,4.5,road_loopA_f0,road_loopA_f1,2160.0,2249.9,89.9,1303.5,52.2,0
84,car,4.5,road_loopA_f0,xloopA_0Bb,2209.2,2250.1,40.9,478.7,42.2,0
24,car,4.5,road_loopA_f0,road_loopA_f1,2161.6,2251.5,89.9,1304.1,52.2,0
57,car,4.5,road_loopA_r0,xloopA_0Ab,2185.3,2251.9,66.6,869.6,47.0,0
25,car,4.5,road_loopA_f0,road_loopA_f1,2161.8,2253.0,91.2,1304.1,51.5,0
15,car,4.5,road_loopA_r0,road_loopA_r1,2153.3,2254.1,100.8,1298.1,46.4,0
21,suv,4.8,road_loopA_r0,road_loopA_r1,2158.2,2255.8,97.6,1297.7,47.8,0
32,car,4.5,road_loopA_r0,road_loopA_r1,2167.5,2256.4,88.9,1297.3,52.5,0
33,car,4.5,road_loopA_r0,road_loopA_r1,2168.0,2257.4,89.4,1297.9,52.2,0
26,suv,4.8,road_loopA_f0,road_loopA_f1,2162.1,2259.1,97.0,1303.0,48.4,0
11,car,4.5,road_loopA_f0,road_loopA_f1,2151.5,2261.5,110.0,1303.0,42.6,0
30,suv,4.8,road_loopA_f0,road_loopA_f1,2166.1,2261.7,95.6,1302.9,49.1,0
38,suv,4.8,road_loopA_r0,road_loopA_r1,2172.8,2261.7,88.9,1297.3,52.5,0
17,truck,8.5,road_loopA_f0,road_loopA_f1,2154.3,2263.6,109.3,1302.8,42.9,0
22,car,4.5,road_loopA_f0,xloopA_0Ab,2159.9,2265.4,105.5,505.1,17.2,1
29,car,4.5,road_loopA_f0,road_loopA_f1,2165.8,2265.9,100.1,1303.2,46.9,0
42,truck,8.5,road_loopA_f0,road_loopA_f1,2176.3,2265.9,89.6,1303.4,52.4,0
28,truck,8.5,road_loopA_r0,xloopA_0Bb,2164.5,2266.3,101.8,895.9,31.7,1
34,suv,4.8,road_loopA_f0,xloopA_0Ab,2168.2,2268.1,99.9,505.6,18.2,1
45,car,4.5,road_loopA_f0,road_loopA_f1,2178.4,2268.1,89.7,1303.1,52.3,0
41,suv,4.8,road_loopA_r0,road_loopA_r1,2176.2,2269.0,92.8,1297.7,50.4,0
37,car,4.5,road_loopA_r0,xloopA_0Bb,2170.6,2269.2,98.6,895.5,32.7,1
