section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,308.4,4553.0,4244.6,1832.4
loopA 순환,4,788.4,5196.8,4408.4,1996.2
loopA 순환,6,1268.4,5376.6,4108.2,1696.0
loopA 순환,8,1748.4,5990.5,4242.1,1829.9
loopA 순환,72,2233.1,6432.2,4199.1,1786.9
loopA 순환,580,2709.0,6946.3,4237.3,1825.1
loopA 순환,1119,3188.4,7283.4,4095.0,1682.8
loopA 순환,1712,3668.4,8025.2,4356.8,1944.6
loopB 순환,1,262.5,4422.9,4160.4,1750.4
loopB 순환,3,742.5,5035.4,4292.9,1882.9
loopB 순환,5,1222.5,5450.7,4228.2,1818.2
loopB 순환,7,1702.5,5873.0,4170.5,1760.5
loopB 순환,33,2182.5,6353.8,4171.3,1761.3
loopB 순환,546,2662.5,6980.7,4318.2,1908.2
loopB 순환,1070,3142.5,7269.3,4126.8,1716.8
loopB 순환,1650,3622.5,7727.2,4104.7,1694.7
