veh_id,kind,length_m,origin,destination,depart_s,arrive_s,travel_s,dist_m,avg_kmh,stops
44,suv,4.8,road_loopA_f0,xloopA_0Ab,2177.6,2225.4,47.8,505.5,38.1,0
60,car,4.5,road_loopA_f0,xloopA_0Ab,2188.2,2228.0,39.8,505.0,45.7,0
68,car,4.5,road_loopA_f0,xloopA_0Ab,2191.6,2230.2,38.6,505.5,47.1,0
29,suv,4.8,road_loopA_r0,xloopA_0Bb,2162.1,2231.1,69.0,895.9,46.8,0
14,car,4.5,xloopA_0Ba,xloopA_0Bb,2152.2,2237.4,85.2,84.5,3.6,1
11,car,4.5,xloopA_0Aa,xloopA_0Ab,2151.1,2237.8,86.7,84.5,3.5,1
10,car,4.5,road_loopA_f0,road_loopA_f1,2150.1,2239.5,89.4,1303.1,52.5,0
28,car,4.5,xloopA_0Ba,xloopA_0Bb,2161.3,2241.8,80.5,84.4,3.8,1
33,car,4.5,xloopA_0Ba,xloopA_0Bb,2164.7,2243.9,79.2,84.7,3.9,0
16,car,4.5,road_loopA_f0,road_loopA_f1,2154.1,2245.4,91.3,1303.2,51.4,0
13,suv,4.8,road_loopA_f0,road_loopA_f1,2151.8,2246.1,94.3,1303.7,49.7,0
40,car,4.5,xloopA_0Ba,xloopA_0Bb,2172.9,2246.2,73.3,84.3,4.1,0
17,suv,4.8,road_loopA_f0,road_loopA_f1,2154.6,2248.3,93.7,1303.0,50.1,0
12,car,4.5,road_loopA_f0,road_loopA_f1,2151.1,2249.4,98.3,1303.7,47.7,0
20,car,4.5,road_loopA_f0,road_loopA_f1,2156.4,2250.0,93.6,1303.0,50.1,0
27,suv,4.8,road_loopA_f0,road_loopA_f1,2160.4,2251.2,90.8,1303.9,51.7,0
30,suv,4.8,road_loopA_f0,road_loopA_f1,2163.2,2258.0,94.8,1303.6,49.5,0
22,car,4.5,road_loopA_f0,road_loopA_f1,2157.5,2258.5,101.0,1303.1,46.4,0
32,car,4.5,road_loopA_f0,road_loopA_f1,2164.2,2259.0,94.8,1303.7,49.5,0
55,car,4.5,road_loopA_f0,xloopA_0Bb,2186.5,2261.2,74.7,478.7,23.1,2
26,car,4.5,road_loopA_f0,road_loopA_f1,2159.2,2263.3,104.1,1303.8,45.1,0
38,car,4.5,road_loopA_f0,road_loopA_f1,2171.6,2263.4,91.8,1303.9,51.1,0
42,suv,4.8,road_loopA_f0,road_loopA_f1,2176.0,2265.9,89.9,1302.9,52.2,0
24,suv,4.8,road_loopA_f0,road_loopA_f1,2158.9,2267.4,108.5,1303.2,43.3,0
36,suv,4.8,road_loopA_f0,road_loopA_f1,2170.6,2267.9,97.3,1303.8,48.2,0
73,car,4.5,road_loopA_r0,xloopA_0Ab,2193.1,2268.5,75.4,869.3,41.5,0
39,suv,4.8,road_loopA_f0,road_loopA_f1,2171.6,2270.1,98.5,1302.8,47.6,0
19,car,4.5,road_loopA_f0,road_loopA_f1,2155.6,2271.5,115.9,1303.6,40.5,0
35,car,4.5,road_loopA_f0,road_loopA_f1,2166.2,2271.6,105.4,1302.8,44.5,0
21,suv,4.8,road_loopA_f0,road_loopA_f1,2156.6,2273.3,116.7,1302.8,40.2,0
15,suv,4.8,road_loopA_r0,road_loopA_r1,2152.9,2277.1,124.2,1298.0,37.6,1
31,suv,4.8,road_loopA_r0,road_loopA_r1,2163.6,2279.7,116.1,1297.8,40.2,1
18,truck,8.5,road_loopA_r0,road_loopA_r1,2154.6,2280.4,125.8,1297.3,37.1,1
37,car,4.5,road_loopA_r0,road_loopA_r1,2171.2,2284.6,113.4,1298.0,41.2,0
43,suv,4.8,road_loopA_r0,road_loopA_r1,2176.3,2287.6,111.3,1298.5,42.0,0
54,car,4.5,road_loopA_r0,road_loopA_r1,2184.7,2287.9,103.2,1298.6,45.3,0
48,truck,8.5,road_loopA_r0,road_loopA_r1,2180.2,2289.0,108.8,1298.2,43.0,0
61,car,4.5,road_loopA_r0,road_loopA_r1,2188.6,2291.8,103.2,1298.1,45.3,0
57,car,4.5,road_loopA_r0,road_loopA_r1,2187.1,2294.3,107.2,1298.0,43.6,0
62,car,4.5,road_loopA_r0,road_loopA_r1,2190.4,2295.5,105.1,1298.7,44.5,0
23,car,4.5,road_loopA_r0,road_loopA_r1,2158.5,2298.1,139.6,1298.6,33.5,1
64,car,4.5,road_loopA_r0,road_loopA_r1,2191.1,2298.9,107.8,1297.9,43.3,0
49,car,4.5,road_loopA_r0,road_loopA_r1,2180.8,2299.6,118.8,1297.6,39.3,0
