veh_id,kind,length_m,origin,destination,depart_s,arrive_s,travel_s,dist_m,avg_kmh,stops
12,car,4.5,xloopA_0Aa,xloopA_0Ab,2151.2,2167.6,16.4,84.4,18.5,1
10,car,4.5,xloopA_0Ba,xloopA_0Bb,2150.9,2168.0,17.1,84.2,17.7,1
13,car,4.5,road_loopA_r0,road_loopA_r1,2151.6,2240.5,88.9,1297.3,52.5,0
14,suv,4.8,road_loopA_f0,road_loopA_f1,2155.6,2245.1,89.5,1302.9,52.4,0
16,car,4.5,road_loopA_f0,road_loopA_f1,2158.6,2247.9,89.3,1303.1,52.5,0
19,car,4.5,road_loopA_r0,road_loopA_r1,2161.4,2250.3,88.9,1297.3,52.5,0
24,car,4.5,road_loopA_f0,road_loopA_f1,2165.4,2254.7,89.3,1303.1,52.5,0
11,car,4.5,road_loopA_r0,road_loopA_r1,2151.1,2255.1,104.0,1297.5,44.9,0
18,suv,4.8,road_loopA_r0,road_loopA_r1,2159.5,2256.8,97.3,1297.5,48.0,0
15,car,4.5,road_loopA_r0,road_loopA_r1,2155.9,2257.5,101.6,1297.3,46.0,0
27,truck,8.5,road_loopA_f0,road_loopA_f1,2168.3,2257.6,89.3,1303.1,52.5,0
17,suv,4.8,road_loopA_f0,road_loopA_f1,2158.9,2258.0,99.1,1303.9,47.4,0
20,suv,4.8,road_loopA_r0,road_loopA_r1,2161.5,2258.5,97.0,1297.5,48.1,0
30,car,4.5,road_loopA_f0,road_loopA_f1,2169.9,2260.0,90.1,1303.6,52.1,0
22,car,4.5,road_loopA_r0,road_loopA_r1,2164.4,2260.3,95.9,1298.3,48.7,0
29,car,4.5,road_loopA_r0,road_loopA_r1,2168.4,2261.0,92.6,1297.3,50.4,0
37,suv,4.8,road_loopA_r0,xloopA_0Bb,2178.7,2262.9,84.2,895.6,38.3,0
50,suv,4.8,road_loopA_f0,xloopA_0Ab,2188.2,2263.1,74.9,505.6,24.3,1
21,car,4.5,road_loopA_r0,road_loopA_r1,2162.1,2263.8,101.7,1297.8,46.0,0
28,car,4.5,road_loopA_r0,road_loopA_r1,2168.2,2264.0,95.8,1298.4,48.8,0
32,car,4.5,road_loopA_r0,road_loopA_r1,2171.1,2264.5,93.4,1298.7,50.1,0
31,car,4.5,road_loopA_f0,road_loopA_f1,2170.4,2264.7,94.3,1303.0,49.8,0
66,suv,4.8,road_loopA_f0,xloopA_0Ab,2198.1,2265.7,67.6,505.4,26.9,1
34,car,4.5,road_loopA_f0,road_loopA_f1,2176.7,2266.7,90.0,1303.3,52.1,0
23,truck,8.5,road_loopA_r0,road_loopA_r1,2165.2,2266.9,101.7,1298.5,46.0,0
36,car,4.5,road_loopA_r0,road_loopA_r1,2177.5,2268.0,90.5,1297.6,51.6,0
80,car,4.5,road_loopA_f0,xloopA_0Ab,2207.3,2268.4,61.1,505.3,29.8,1
35,car,4.5,road_loopA_r0,road_loopA_r1,2177.2,2270.4,93.2,1297.8,50.2,0
96,car,4.5,road_loopA_f0,xloopA_0Ab,2217.2,2271.0,53.8,505.0,33.8,1
102,car,4.5,road_loopA_f0,xloopA_0Ab,2220.5,2273.7,53.2,505.0,34.2,0
38,car,4.5,road_loopA_r0,road_loopA_r1,2179.9,2273.8,93.9,1297.6,49.7,0
46,car,4.5,road_loopA_f0,road_loopA_f1,2186.1,2275.5,89.4,1303.0,52.5,0
42,suv,4.8,road_loopA_r0,road_loopA_r1,2183.2,2275.6,92.4,1298.4,50.6,0
44,suv,4.8,road_loopA_r0,road_loopA_r1,2185.1,2277.4,92.3,1298.5,50.6,0
64,car,4.5,xloopA_0Aa,xloopA_0Ab,2197.1,2278.0,80.9,84.7,3.8,1
43,car,4.5,road_loopA_r0,road_loopA_r1,2184.7,2278.3,93.6,1298.1,49.9,0
51,suv,4.8,road_loopA_f0,road_loopA_f1,2188.9,2278.8,89.9,1303.0,52.2,0
41,suv,4.8,road_loopA_r0,road_loopA_r1,2182.6,2279.0,96.4,1297.7,48.5,0
135,car,4.5,xloopA_0Ba,xloopA_0Bb,2248.3,2279.5,31.2,84.4,9.7,1
138,car,4.5,xloopA_0Ba,xloopA_0Bb,2249.6,2281.9,32.3,84.4,9.4,0
153,car,4.5,xloopA_0Ba,xloopA_0Bb,2263.2,2284.1,20.9,84.7,14.6,0
40,car,4.5,road_loopA_f0,road_loopA_f1,2181.5,2284.4,102.9,1303.4,45.6,0
39,car,4.5,road_loopA_f0,road_loopA_f1,2181.2,2285.0,103.8,1303.6,45.2,0
33,car,4.5,road_loopA_f0,road_loopA_f1,2173.2,2285.2,112.0,1303.5,41.9,0
54,car,4.5,road_loopA_f0,road_loopA_f1,2192.1,2286.1,94.0,1303.2,49.9,0
56,car,4.5,road_loopA_f0,road_loopA_f1,2193.8,2287.4,93.6,1304.1,50.1,0
55,car,4.5,road_loopA_f0,road_loopA_f1,2192.7,2287.8,95.1,1303.2,49.3,0
53,car,4.5,road_loopA_f0,road_loopA_f1,2192.0,2289.2,97.2,1302.8,48.3,0
60,car,4.5,road_loopA_f0,road_loopA_f1,2195.7,2289.5,93.8,1303.1,50.0,0
25,car,4.5,road_loopA_f0,road_loopA_f1,2166.2,2290.0,123.8,1303.6,37.9,0
62,suv,4.8,road_loopA_f0,road_loopA_f1,2196.0,2291.3,95.3,1303.9,49.3,0
70,suv,4.8,road_loopA_f0,road_loopA_f1,2200.3,2291.4,91.1,1303.5,51.5,0
59,car,4.5,road_loopA_f0,road_loopA_f1,2195.5,2291.6,96.1,1303.8,48.8,0
65,car,4.5,road_loopA_f0,road_loopA_f1,2198.1,2293.2,95.1,1303.1,49.3,0
68,car,4.5,road_loopA_f0,road_loopA_f1,2199.9,2294.1,94.2,1303.9,49.9,0
75,car,4.5,road_loopA_f0,road_loopA_f1,2205.1,2295.0,89.9,1304.0,52.2,0
67,truck,8.5,road_loopA_f0,road_loopA_f1,2198.9,2296.4,97.5,1303.9,48.2,0
77,car,4.5,road_loopA_f0,road_loopA_f1,2206.2,2296.8,90.6,1303.8,51.8,0
58,car,4.5,road_loopA_f0,road_loopA_f1,2194.6,2297.4,102.8,1303.0,45.6,0
78,suv,4.8,road_loopA_f0,road_loopA_f1,2206.7,2298.7,92.0,1303.0,51.0,0
76,car,4.5,road_loopA_f0,road_loopA_f1,2205.4,2302.6,97.2,1303.0,48.2,0
118,car,4.5,road_loopA_f0,xloopA_0Bb,2232.2,2303.4,71.2,478.6,24.2,2
69,suv,4.8,road_loopA_f0,road_loopA_f1,2200.1,2303.5,103.4,1303.3,45.4,0
26,car,4.5,road_loopA_r0,xloopA_0Ab,2166.5,2303.7,137.2,869.0,22.8,3
72,car,4.5,road_loopA_f0,road_loopA_f1,2203.0,2306.4,103.4,1302.9,45.4,0
85,car,4.5,road_loopA_f0,road_loopA_f1,2211.1,2306.4,95.3,1303.0,49.2,0
57,car,4.5,road_loopA_r0,xloopA_0Ab,2194.2,2307.3,113.1,869.2,27.7,1
92,car,4.5,road_loopA_f0,road_loopA_f1,2214.2,2309.5,95.3,1303.4,49.2,0
110,car,4.5,road_loopA_r0,xloopA_0Ab,2226.5,2310.8,84.3,868.9,37.1,0
88,car,4.5,road_loopA_f0,road_loopA_f1,2212.1,2314.6,102.5,1302.8,45.8,0
61,car,4.5,road_loopA_r0,road_loopA_r1,2195.7,2322.2,126.5,1297.5,36.9,1
179,car,4.5,road_loopA_f0,xloopA_0Bb,2283.9,2323.9,40.0,478.7,43.1,0
45,car,4.5,road_loopA_r0,road_loopA_r1,2185.7,2324.3,138.6,1297.9,33.7,1
71,suv,4.8,road_loopA_r0,road_loopA_r1,2202.1,2327.2,125.1,1297.4,37.3,1
48,car,4.5,road_loopA_r0,road_loopA_r1,2186.4,2330.3,143.9,1297.7,32.5,1
81,car,4.5,road_loopA_r0,road_loopA_r1,2208.0,2331.0,123.0,1298.2,38.0,1
49,car,4.5,road_loopA_r0,road_loopA_r1,2187.2,2331.9,144.7,1297.3,32.3,1
47,truck,8.5,road_loopA_r0,road_loopA_r1,2186.1,2332.1,146.0,1297.4,32.0,1
52,car,4.5,road_loopA_r0,road_loopA_r1,2190.4,2333.9,143.5,1297.8,32.6,1
74,car,4.5,road_loopA_r0,road_loopA_r1,2203.5,2334.0,130.5,1297.4,35.8,1
87,car,4.5,road_loopA_r0,road_loopA_r1,2212.0,2334.0,122.0,1298.7,38.3,1
63,car,4.5,road_loopA_r0,road_loopA_r1,2197.0,2335.7,138.7,1297.7,33.7,1
84,car,4.5,road_loopA_r0,road_loopA_r1,2209.7,2335.8,126.1,1298.5,37.1,1
90,car,4.5,road_loopA_r0,road_loopA_r1,2213.8,2336.6,122.8,1298.2,38.1,1
73,car,4.5,road_loopA_r0,road_loopA_r1,2203.4,2337.4,134.0,1297.5,34.9,1
79,car,4.5,road_loopA_r0,road_loopA_r1,2206.9,2337.5,130.6,1298.1,35.8,1
99,suv,4.8,road_loopA_r0,road_loopA_r1,2219.9,2339.2,119.3,1297.3,39.1,1
82,truck,8.5,road_loopA_r0,road_loopA_r1,2208.6,2339.7,131.1,1298.1,35.6,1
104,car,4.5,road_loopA_r0,road_loopA_r1,2221.4,2340.4,119.0,1297.5,39.3,1
86,car,4.5,road_loopA_r0,road_loopA_r1,2211.2,2341.7,130.5,1298.3,35.8,1
95,car,4.5,road_loopA_r0,road_loopA_r1,2217.2,2342.3,125.1,1297.4,37.3,1
106,suv,4.8,road_loopA_r0,road_loopA_r1,2224.3,2343.2,118.9,1298.5,39.3,1
89,car,4.5,road_loopA_r0,road_loopA_r1,2212.1,2343.4,131.3,1297.5,35.6,1
116,suv,4.8,road_loopA_r0,road_loopA_r1,2231.1,2344.1,113.0,1297.3,41.3,1
93,car,4.5,road_loopA_r0,road_loopA_r1,2215.4,2344.7,129.3,1298.7,36.2,1
105,car,4.5,road_loopA_r0,road_loopA_r1,2221.8,2346.4,124.6,1298.6,37.5,1
119,car,4.5,road_loopA_r0,road_loopA_r1,2236.3,2346.4,110.1,1297.5,42.4,0
94,car,4.5,road_loopA_f0,road_loopA_f1,2215.6,2349.5,133.9,1303.8,35.0,1
113,suv,4.8,road_loopA_r0,road_loopA_r1,2228.8,2349.5,120.7,1297.6,38.7,0
115,suv,4.8,road_loopA_r0,road_loopA_r1,2230.7,2351.7,121.0,1297.7,38.6,0
122,car,4.5,road_loopA_r0,road_loopA_r1,2236.8,2353.4,116.6,1297.9,40.1,0
114,truck,8.5,road_loopA_r0,road_loopA_r1,2229.8,2353.5,123.7,1298.1,37.8,0
132,car,4.5,road_loopA_r0,road_loopA_r1,2247.9,2354.0,106.1,1297.4,44.0,0
107,car,4.5,road_loopA_f0,road_loopA_f1,2224.5,2354.8,130.3,1303.3,36.0,1
124,car,4.5,road_loopA_r0,road_loopA_r1,2237.8,2355.6,117.8,1298.3,39.7,0
83,car,4.5,road_loopA_r0,xloopA_0Bb,2209.1,2355.9,146.8,895.6,22.0,1
128,car,4.5,road_loopA_r0,road_loopA_r1,2239.6,2356.0,116.4,1297.6,40.1,0
112,car,4.5,road_loopA_f0,xloopA_0Ab,2228.4,2356.4,128.0,505.0,14.2,1
129,car,4.5,road_loopA_r0,road_loopA_r1,2239.9,2357.4,117.5,1298.3,39.8,0
131,car,4.5,road_loopA_r0,road_loopA_r1,2245.9,2357.7,111.8,1298.0,41.8,0
121,suv,4.8,road_loopA_f0,road_loopA_f1,2236.7,2358.3,121.6,1304.2,38.6,1
100,car,4.5,road_loopA_f0,road_loopA_f1,2220.0,2358.4,138.4,1302.9,33.9,1
98,car,4.5,road_loopA_r0,xloopA_0Bb,2219.8,2358.5,138.7,895.6,23.2,1
143,car,4.5,road_loopA_f0,xloopA_0Ab,2251.5,2359.0,107.5,505.0,16.9,2
137,car,4.5,road_loopA_r0,road_loopA_r1,2249.3,2359.1,109.8,1297.4,42.5,0
151,car,4.5,road_loopA_r0,road_loopA_r1,2260.8,2359.6,98.8,1298.7,47.3,0
133,truck,8.5,road_loopA_r0,road_loopA_r1,2247.9,2360.0,112.1,1298.1,41.7,0
