section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,347.6,4633.5,4285.9,1873.7
loopA 순환,3,827.6,5046.9,4219.3,1807.1
loopA 순환,5,1307.6,5554.2,4246.6,1834.4
loopA 순환,7,1787.6,5978.7,4191.1,1778.9
loopA 순환,127,2267.6,6465.4,4197.8,1785.6
loopA 순환,684,2757.2,7160.9,4403.7,1991.5
loopA 순환,1230,3228.5,7338.3,4109.8,1697.6
loopA 순환,1786,3707.6,8111.3,4403.7,1991.5
loopB 순환,2,365.5,4617.5,4252.0,1842.0
loopB 순환,4,845.5,5061.0,4215.5,1805.5
loopB 순환,6,1325.5,5672.3,4346.8,1936.8
loopB 순환,8,1805.5,6095.1,4289.6,1879.6
loopB 순환,150,2285.5,6387.6,4102.1,1692.1
loopB 순환,712,2765.5,7112.2,4346.7,1936.7
loopB 순환,1250,3245.5,7350.2,4104.7,1694.7
loopB 순환,1811,3725.5,7861.3,4135.8,1725.8
