section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,129.4,4734.2,4604.8,2192.6
loopA 순환,3,597.7,5196.6,4598.9,2186.7
loopA 순환,5,1074.4,5715.5,4641.1,2228.9
loopA 순환,7,1554.4,6180.9,4626.5,2214.3
loopA 순환,9,2034.4,6601.6,4567.2,2155.0
loopA 순환,419,2514.4,7211.7,4697.3,2285.1
loopA 순환,994,2994.4,7538.6,4544.2,2132.0
loopA 순환,1551,3495.4,8098.0,4602.6,2190.4
loopB 순환,2,390.2,5300.5,4910.3,2500.3
loopB 순환,4,870.2,5591.5,4721.3,2311.3
loopB 순환,6,1350.2,5947.8,4597.6,2187.6
loopB 순환,8,1830.2,6610.3,4780.1,2370.1
loopB 순환,182,2310.2,7077.7,4767.5,2357.5
loopB 순환,776,2790.2,7455.3,4665.1,2255.1
loopB 순환,1311,3270.2,7821.3,4551.1,2141.1
